Id,Y
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,1
11,1
12,2
13,2
14,1
15,1
16,1
17,2
18,2
19,2
20,2
21,2
22,1
23,2
24,1
25,1
26,2
27,1
28,1
29,1
30,2
31,1
32,1
33,1
34,1
35,2
36,1
37,1
38,0
39,2
40,2
41,1
42,1
43,1
44,1
45,2
46,2
47,1
48,1
49,1
50,2
51,2
52,2
53,2
54,1
55,1
56,2
57,1
58,1
59,2
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,2
73,1
74,1
75,2
76,1
77,1
78,2
79,1
80,1
81,2
82,1
83,1
84,2
85,1
86,1
87,2
88,1
89,1
90,2
91,1
92,1
93,1
94,2
95,1
96,1
97,1
98,1
99,2
100,1
101,1
102,1
103,0
104,1
105,1
106,1
107,1
108,1
109,2
110,1
111,1
112,2
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,2
128,2
129,1
130,2
131,1
132,1
133,1
134,1
135,1
136,1
137,2
138,2
139,1
140,1
141,2
142,1
143,1
144,2
145,2
146,2
147,2
148,2
149,1
150,2
151,1
152,2
153,1
154,1
155,1
156,1
157,1
158,2
159,1
160,1
161,1
162,1
163,1
164,2
165,2
166,2
167,1
168,2
169,1
170,1
171,1
172,2
173,1
174,2
175,1
176,1
177,1
178,2
179,2
180,2
181,1
182,2
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,2
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,2
201,2
202,2
203,1
204,1
205,1
206,1
207,2
208,2
209,1
210,1
211,2
212,2
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,2
223,1
224,1
225,1
226,1
227,1
228,2
229,1
230,1
231,2
232,1
233,1
234,1
235,2
236,1
237,1
238,1
239,1
240,2
241,1
242,2
243,1
244,1
245,1
246,1
247,2
248,1
249,1
250,1
251,1
252,1
253,2
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,2
262,3
263,1
264,1
265,1
266,2
267,1
268,1
269,1
270,2
271,1
272,1
273,2
274,2
275,2
276,1
277,2
278,1
279,2
280,1
281,1
282,1
283,1
284,1
285,2
286,1
287,1
288,1
289,1
290,2
291,1
292,1
293,1
294,2
295,1
296,1
297,1
298,1
299,1
300,2
301,1
302,2
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,3
312,1
313,1
314,1
315,1
316,1
317,2
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,2
326,1
327,1
328,1
329,2
330,1
331,2
332,1
333,1
334,2
335,1
336,1
337,1
338,1
339,1
340,1
341,2
342,2
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,2
355,1
356,1
357,1
358,1
359,1
360,2
361,1
362,1
363,1
364,1
365,2
366,1
367,1
368,1
369,1
370,2
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,2
380,1
381,2
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,2
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,2
401,2
402,1
403,1
404,1
405,1
406,1
407,1
408,2
409,1
410,1
411,1
412,1
413,2
414,1
415,2
416,1
417,1
418,2
419,1
420,1
421,1
422,2
423,1
424,1
425,1
426,1
427,2
428,2
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,2
437,2
438,1
439,1
440,2
441,1
442,2
443,1
444,1
445,2
446,1
447,2
448,1
449,1
450,1
451,1
452,1
453,1
454,2
455,1
456,2
457,1
458,1
459,1
460,1
461,1
462,2
463,1
464,2
465,2
466,1
467,2
468,2
469,1
470,1
471,1
472,2
473,1
474,2
475,1
476,1
477,1
478,2
479,1
480,2
481,2
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,2
495,2
496,3
497,2
498,1
499,1
500,1
501,1
502,2
503,1
504,1
505,1
506,1
507,2
508,2
509,1
510,2
511,1
512,1
513,1
514,1
515,1
516,3
517,1
518,1
519,1
520,2
521,1
522,1
523,1
524,1
525,1
526,2
527,2
528,2
529,1
530,1
531,1
532,2
533,2
534,1
535,2
536,1
537,1
538,1
539,2
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,3
551,2
552,1
553,2
554,2
555,2
556,1
557,2
558,2
559,1
560,1
561,1
562,1
563,1
564,1
565,2
566,1
567,1
568,1
569,1
570,2
571,1
572,2
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,2
583,1
584,1
585,1
586,2
587,2
588,1
589,1
590,1
591,1
592,2
593,1
594,1
595,1
596,1
597,1
598,2
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,0
617,1
618,1
619,1
620,2
621,2
622,2
623,1
624,2
625,2
626,1
627,1
628,2
629,2
630,1
631,2
632,1
633,1
634,1
635,2
636,1
637,1
638,1
639,1
640,2
641,2
642,1
643,2
644,1
645,2
646,1
647,1
648,1
649,1
650,2
651,1
652,2
653,1
654,1
655,2
656,3
657,1
658,2
659,1
660,1
661,1
662,1
663,1
664,2
665,1
666,2
667,1
668,1
669,1
670,2
671,1
672,1
673,2
674,2
675,1
676,2
677,1
678,2
679,1
680,1
681,1
682,2
683,1
684,1
685,1
686,2
687,1
688,1
689,2
690,2
691,1
692,1
693,1
694,1
695,1
696,2
697,1
698,2
699,1
700,2
701,1
702,1
703,2
704,1
705,1
706,1
707,1
708,1
709,2
710,2
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,2
730,2
731,2
732,1
733,1
734,1
735,2
736,2
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,2
747,1
748,1
749,2
750,1
751,1
752,2
753,1
754,1
755,2
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,3
768,1
769,1
770,1
771,1
772,1
773,1
774,2
775,1
776,1
777,1
778,2
779,1
780,2
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,2
791,1
792,1
793,1
794,1
795,2
796,2
797,2
798,1
799,2
800,2
801,1
802,1
803,1
804,2
805,1
806,2
807,1
808,1
809,1
810,1
811,1
