PERSON,GPE
Roberto Calvi,Italy
Chávez,Bolivia
Correa,Bolivia
Evo Morales,Brazil
Hugo Chávez,Venezuela
Alejandro Landes 's,Bolivia
Ugalde,Bolivia
Wilson Araoz,Bolivia
Fidel Castro,Spain
Rafael Correa,Bolivia
Daniel Ortega,Ecuador
Lieberman,Kentucky
Miller,United States
Jagdish Bhagwati,Sri Lanka
Summers,Sri Lanka
Graham Snyder,Canada
Jennifer Botterill,Canada
Sami Jo,Canada
Roddick,the United States
Fernando Verdasco,the United States
Hou,Paris
Albert Lamorisse 's,Paris
Ben Sisario,Canada
Carr,Houston
Gary Kubiak,Houston
Mike Hampton,Atlanta
Lucy Caldwell,Northern Ireland
Sheila Callaghan,Northern Ireland
Abbie Spallen,Northern Ireland
Maria Zardone,Magenta
Vang Pao,Laos
Clint Eastwood Clint Eastwood,Paris
Jacques Chirac,France
Bernard Kouchner,France
Nicolas Sarkozy,France
Sarkozy,France
Papon,France
Chirac,Iran
Ségolène Royal,France
Alexandre de Marenches,France
Queen Sofía,Spain
Rostropovich,Azerbaijan
Bush,France
Yul Kwon,Calif.
Nate Robertson,Detroit
Dan Haren,Detroit
Dontrelle Willis,Cincinnati
Olivier Assayas,Germany
Sylvain Chomet,Germany
Walter Salles,Germany
Daniela Thomas,Germany
Nobuhiro Suwa,Brazil
Alfonso Cuarón,Brazil
Tom Tykwer,Brazil
Amália Rodrigues,Portugal
Olmert,Israel
Lapierre,Israel
Martti Ahtisaari,Kosovo
Sheila Dixon,Baltimore
Abhishek Bachchan,India
Preity Zinta,India
Bobby Deol,India
Lara Dutta,India
Gauguin,Paris
Émile Zola 's,Paris
Te Kanawa,Australia
Tony Blair,the United Kingdom
Gordon Brown,the United Kingdom
Peter Akinola,Uganda
Richard Gasquet,Spain
Gaël Monfils,Spain
Tomas Berdych,Spain
Andy Murray,Spain
Rafael Nadal,Serbia
Oliver Platt,the Town of North Haven
Ned Lamont,the Town of North Haven
Anne Born,Norway
Clendenin,Atlanta
Pierre Boulez,France
Sundance Channel,France
Edward Fox,France
Charles de Gaulle,France
Trump,Canada
Black,Canada
Touraine,California
Heinrich Böll 's,Germany
Josh Smith,Atlanta
Ernst Myller,the United States
Rolf,the United States
Ulrich,the United States
Gilad Shalit,Israel
Hanns Eisler,Germany
Schoenberg,Germany
Vasily Grossman,Paris
Lucifer Chu,Taiwan
George Steinbrenner,Cleveland
Walid Eido,Lebanon
Khalilzad,Lebanon
Rafik Hariri,the United States
Margaret Scobey,Lebanon
Siniora,Syria
Alain Chabat,France
Garry Kasparov,Russia
Mikhail A. Kasyanov,Russia
Grandmaster,Russia
Putin,Russia
Vladimir V. Putin,Germany
Jon S. Corzine,United States
Christopher J. Christie,Newark
Keith DaCosta,Newark
Sarah Jamieson,Australia
Monica Hargrove,Canada
Jenn Stuczynski,Australia
Chris Lukezic,Kenya
Gabe Jennings,Kenya
Rob Myers,Kenya
Kevin Sullivan,Kenya
Nate Brannen,Kenya
Ivan Heshko,Kenya
Elkanah Angwenyi,Kenya
Kyaw Thu,Myanmar
Lucia,North Dakota
Thomas Vanek,Colorado Springs
Ryan Potulny,Colorado Springs
goalie Kellen Briggs,Buffalo
Fidel Castro 's,Cuba
Valentine,Cuba
Che,Cuba
Condoleezza Rice,Jerusalem
Salvador Valdés,Havana
George Bush,Cuba
Castro,Cuba
Leonid Brezhnev,Cuba
Eisenhower,Cuba
Rafael Trujillo,Cuba
Ayelet Waldman,Calif.
Jason Miller,Scranton
Sorvino,Scranton
Carl E. Schorske 's,Vienna
Stefan Zweig 's,Vienna
Friedrich Torberg 's,Vienna
George Clare 's,Vienna
Anschutz,Kansas
Shapiro,Paris
Frank Church,pro - United States
Farland,Idaho
Pierre Bourdieu,France
Bourdieu,France
Byrne,Philippines
Robert Wilson,Philippines
Hitler Comedy,Germany
Hitler,Paris
Helge Schneider,Germany
Ulrich Mühe,Germany
Tony Parker,Dallas
Dirk Nowitzki,France
Parker,Dallas
Michael Jordan,Dallas
Donald M. Payne,Newark
Phil Thigpen,Newark
Shane Doan,Canada
Shimon Peres,Israel
Sheik Hamad bin Khalifa al - Thani,Israel
Ehud Barak,Israel
Jolie,Israel
Brad Pitt,Israel
1690 William of Orange,Ireland
James II,Ireland
Martin McGuinness,the United States
Ian Paisley,Northern Ireland
Bertie Ahern,Ireland
Tommy Thompson,Colorado
Ron Paul,Colorado
Tom Tancredo,Colorado
Aravind Adiga,India
Marion Cotillard,France
Edith Piaf,France
Olivier Dahan,France
Libby Lenton,Australia
Lacey Nymeyer,Australia
Steve Cohen,Memphis
Stein Eriksen,Norway
Jonathan Wade,Florida
Hugo Sánchez,Mexico
Ricardo La volpe,Mexico
Nelson Mandela,South Africa
Alan Paton,South Africa
Timothy Mosley,Va.
Jean Prouvé,Paris
Edgar Allan Poe,Virginia
Jeffrey Combs,Virginia
Skakel,Greenwich
Michael C. Skakel 's,Greenwich
Wole Soyinka,the British Commonwealth
Roscoe Lee Browne,N.J.
Arturo Toscanini,Italy
Joyce Wieland 's,Canada
Jamie Anderson,Australia
Ben Nelson,Nebraska
Norm Coleman,Nebraska
Gary Ervin,Nigeria
Idong Ibok,Arkansas
Savall,France
Louis XIV,France
Marin Marais,France
Hermann Göring,Germany
Albert Speer,Germany
Joachim von Ribbentrop,Germany
Julius Streicher,Germany
Der Sturmer,Germany
Winelands,South Africa 's
Thaksin Shinawatra,Thailand
Angela Merkel,Germany
Gerhard Schröder,Germany
Ángel Ganivet,Spain
Crist,Florida
Kamal Nath,India
Tom Bewley,Ind.
La Sconosciuta '',Italy
Angelo Longoni 's,Italy
Caravaggio,Italy
Vittorio Storaro,Italy
Alessio Boni,Italy
Levi,Italy
Royal,Spain
Duhamel,France
Greenspan,Chicago
Hervé Morin,the United States
Gates,the United States
Emilio Echevarría,Mexico City
Joaquín Balaguer,the Dominican Republic
Sinn Fein,Ireland
Steny Hoyer,Kentucky
Mitch McConnell,Iraq
Dick Cheney,Kentucky
Reid,Kentucky
Peter J. Schoomaker,Kentucky
Harry Reid,Kentucky
Elaine L. Chao,Kentucky
Dave Kehr,Oklahoma
Will Rogers 's,Oklahoma
Michael Schumacher,the United States
Jan Ullrich,the United States
Phil Collins,Switzerland
Tina Turner,Switzerland
François Mitterrand,France
Vichy,France
Hollande,France
Egon Friedell,Vienna
Gore,Australia
Robert M. Carter,Australia
Alejandro González Iñárritu,Mexico
Berber,Mexico
Rinko Kikuchi,Japan
Adriana Barraza,Japan
Alessandro Profumo,Italy
Chris Guccione,Australia
Rochus,Australia
Olivier,Australia
Imelda Marcos 's,Manila
James Fuller,Washington
Richard Fuller,Washington
Laura Fuller Bates,Orlando
Abbas,Israel
Hussein,Israel
Nusseibeh,Israel
